"","x"
"1",1646
"2",1794
"3",1878
"4",2173
"5",2321
"6",2468
"7",2416
"8",2184
"9",2121
"10",1962
"11",1825
"12",1751
"13",1688
"14",1920
"15",1941
"16",2311
"17",2279
"18",2638
"19",2448
"20",2279
"21",2163
"22",1941
"23",1878
"24",1773
"25",1688
"26",1783
"27",1984
"28",2290
"29",2511
"30",2712
"31",2522
"32",2342
"33",2195
"34",1931
"35",1910
"36",1730
"37",1688
"38",1899
"39",1994
"40",2342
"41",2553
"42",2712
"43",2627
"44",2363
"45",2311
"46",2026
"47",1910
"48",1762
"49",1815
"50",2005
"51",2089
"52",2617
"53",2828
"54",2965
"55",2891
"56",2532
"57",2363
"58",2216
"59",2026
"60",1804
"61",1773
"62",2015
"63",2089
"64",2627
"65",2712
"66",3007
"67",2880
"68",2490
"69",2237
"70",2205
"71",1984
"72",1868
"73",1815
"74",2047
"75",2142
"76",2743
"77",2775
"78",3028
"79",2965
"80",2501
"81",2501
"82",2131
"83",2015
"84",1910
"85",1868
"86",2121
"87",2268
"88",2690
"89",2933
"90",3218
"91",3028
"92",2659
"93",2406
"94",2258
"95",2057
"96",1889
"97",1984
"98",2110
"99",2311
"100",2785
"101",3039
"102",3229
"103",3070
"104",2659
"105",2543
"106",2237
"107",2142
"108",1962
"109",1910
"110",2216
"111",2437
"112",2817
"113",3123
"114",3345
"115",3112
"116",2659
"117",2469
"118",2332
"119",2110
"120",1910
"121",1941
"122",2216
"123",2342
"124",2923
"125",3229
"126",3513
"127",3355
"128",2849
"129",2680
"130",2395
"131",2205
"132",1994
"133",1952
"134",2290
"135",2395
"136",2965
"137",3239
"138",3608
"139",3524
"140",3018
"141",2648
"142",2363
"143",2247
"144",1994
"145",1941
"146",2258
"147",2332
"148",3323
"149",3608
"150",3957
"151",3672
"152",3155
"153",2933
"154",2585
"155",2384
"156",2057
"157",2100
"158",2458
"159",2638
"160",3292
"161",3724
"162",4652
"163",4379
"164",4231
"165",3756
"166",3429
"167",3461
"168",3345
"169",4220
"170",4874
"171",5064
"172",5951
"173",6774
"174",7997
"175",7523
"176",7438
"177",6879
"178",6489
"179",6288
"180",5919
"181",6183
"182",6594
"183",6489
"184",8040
"185",9715
"186",9714
"187",9756
"188",8595
"189",7861
"190",7753
"191",8154
"192",7778
"193",7402
"194",8903
"195",9742
"196",11372
"197",12741
"198",13733
"199",13691
"200",12239
"201",12502
"202",11241
"203",10829
"204",11569
"205",10397
"206",12493
"207",11962
"208",13974
"209",14945
"210",16805
"211",16587
"212",14225
"213",14157
"214",13016
"215",12253
"216",11704
"217",12275
"218",13695
"219",14082
"220",16555
"221",17339
"222",17777
"223",17592
"224",16194
"225",15336
"226",14208
"227",13116
"228",12354
"229",12682
"230",14141
"231",14989
"232",16159
"233",18276
"234",19157
"235",18737
"236",17109
"237",17094
"238",15418
"239",14312
"240",13260
"241",14990
"242",15975
"243",16770
"244",19819
"245",20983
"246",22001
"247",22337
"248",20750
"249",19969
"250",17293
"251",16498
"252",15117
"253",16058
"254",18137
"255",18471
"256",21398
"257",23854
"258",26025
"259",25479
"260",22804
"261",19619
"262",19627
"263",18488
"264",17243
"265",18284
"266",20226
"267",20903
"268",23768
"269",26323
"270",28038
"271",26776
"272",22886
"273",22813
"274",22404
"275",19795
"276",18839
"277",18892
"278",20823
"279",22212
"280",25076
"281",26884
"282",30611
"283",30228
"284",26762
"285",25885
"286",23328
"287",21930
"288",21433
"289",22369
"290",24503
"291",25905
"292",30605
"293",34984
"294",37060
"295",34502
"296",31793
"297",29275
"298",28305
"299",25248
"300",27730
"301",27424
"302",32684
"303",31366
"304",37459
"305",41060
"306",43558
"307",42398
"308",33827
"309",34962
"310",33480
"311",32445
"312",30715
"313",30400
"314",31451
"315",31306
"316",40592
"317",44133
"318",47387
"319",41310
"320",37913
"321",34355
"322",34607
"323",28729
"324",26138
"325",30745
"326",35018
"327",34549
"328",40980
"329",42869
"330",45022
"331",40387
"332",38180
"333",38608
"334",35308
"335",30234
"336",28801
"337",33034
"338",35294
"339",33181
"340",40797
"341",42355
"342",46098
"343",42430
"344",41851
"345",39331
"346",37328
"347",34514
"348",32494
"349",33308
"350",36805
"351",34221
"352",41020
"353",44350
"354",46173
"355",44435
"356",40943
"357",39269
"358",35901
"359",32142
"360",31239
"361",32261
"362",34951
"363",38109
"364",43168
"365",45547
"366",49568
"367",45387
"368",41805
"369",41281
"370",36068
"371",34879
"372",32791
"373",34206
"374",39128
"375",40249
"376",43519
"377",46137
"378",56709
"379",52306
"380",49397
"381",45500
"382",39857
"383",37958
"384",35567
"385",37696
"386",42319
"387",39137
"388",47062
"389",50610
"390",54457
"391",54435
"392",48516
"393",43225
"394",42155
"395",39995
"396",37541
"397",37277
"398",41778
"399",41666
"400",49616
"401",57793
"402",61884
"403",62400
"404",50820
"405",51116
"406",45731
"407",42528
"408",40459
"409",40295
"410",44147
"411",42697
"412",52561
"413",56572
"414",56858
"415",58363
"416",45627
"417",45622
"418",41304
"419",36016
"420",35592
"421",35677
"422",39864
"423",41761
"424",50380
"425",49129
"426",55066
"427",55671
"428",49058
"429",44503
"430",42145
"431",38698
"432",38963
"433",38690
"434",39792
"435",42545
"436",50145
"437",58164
"438",59035
"439",59408
"440",55988
"441",47321
"442",42269
"443",39606
"444",37059
"445",37963
"446",31043
"447",41712
"448",50366
"449",56977
"450",56807
"451",54634
"452",51367
"453",48073
"454",46251
"455",43736
"456",39975
"457",40478
"458",46895
"459",46147
"460",55011
"461",57799
"462",62450
"463",63896
"464",57784
"465",53231
"466",50354
"467",38410
"468",41600
"469",41471
"470",46287
"471",49013
"472",56624
"473",61739
"474",66600
"475",60054
